Компания;Изменение стоимости обыкновенной акции за год, доля (данные на 10.12.2024);Торговый оборот акции на 10.12.2024, млрд. руб;Изменение процента выплаченных дивидентов в сравнении с предыдущим годом, доля;Количество новостей о компании на сайте ru.investing.com за неполный 2024 год, шт.;"Изменение кредитного рейтинга компании за год. Рейтинговое агентство «Эксперт РА» начисляет эмитентам кредитный рейтинг от самого ненадёжного ""D"" до самого надёжного ""AAA"". Значение указывает на изменение в лучшую или худшую сторону на определенное количество пунктов. Значение 0 обозначает отсутсвие изменение рейтинга";Изменение кол-ва сотрудников компании за 5 лет, доля;;;;;;
Т-технологии (ранее Т-банк);-22.22%;15.01;3.80%;36;0;31.50%;;;;;;
Сбербанк;-11.32%;12.53;-0.08%;83;0;-7.40%;;;;;;
Лукойл;-2.31%;4.95;-0.66%;68;0;-1.00%;;;;;;
Газпром;-26.26%;4.87;0.00%;123;0;1.30%;;;;;;
Яндекс;49.36%;3.62;1.98%;54;0;24.60%;;;;;;
OZON;6.49%;3.13;0.00%;35;-1;10.40%;;;;;;
Полюс;40.25%;2.84;9.11%;64;0;1.10%;;;;;;
ГМК Норникель;-34.89%;2.27;-5.34%;33;0;-2.90%;;;;;;
Татнефть;-9.00%;2.07;4.50%;59;0;-3.80%;;;;;;
Самолет;-76.04%;1.9;0.00%;2;-1;47.20%;;;;;;
Мечел;-69.15%;1.86;0.00%;3;0;-1.10%;;;;;;
Новатэк;-44.93%;1.82;0.35%;42;0;18.30%;;;;;;
ВК;-54.36%;1.68;0.00%;20;0;28.10%;;;;;;
Роснефть;-13.17%;1.63;0.97%;66;0;6.40%;;;;;;
Аэрофлот;45.23%;1.61;0.00%;37;1;-5.20%;;;;;;
Группа Позитив;-1.06%;1.49;-0.81%;0;0;88.00%;;;;;;
АФК Система;-20.64%;1.38;0.00%;42;0;3.70%;;;;;;
ВТБ;-38.29%;1.28;0.00%;40;0;-6.40%;;;;;;
Магнит;-27.62%;1.04;12.28%;27;-1;4.10%;;;;;;
НЛМК;-26.89%;0.994;9.96%;12;0;-1.30%;;;;;;
Хэдхантер;47.71%;0.966;21.14%;1;-1;0.00%;;;;;;
Северсталь;-10.08%;0.932;19.45%;31;0;0.30%;;;;;;
Алроса;-24.95%;0.849;2.11%;26;0;-3.80%;;;;;;
МТС;-29.81%;0.675;3.01%;19;0;-3.30%;;;;;;
ММК;-34.47%;0.628;10.50%;7;0;25.00%;;;;;;
Сургутнефтегаз;-0.77%;0.596;17.74%;39;0;0.00%;;;;;;
Газпром нефть;-34.19%;0.567;-1.18%;31;0;3.90%;;;;;;
ПИК;-39.71%;0.467;0.00%;39;0;17.60%;;;;;;
РУСАЛ;-6.93%;0.457;0.00%;37;1;1.50%;;;;;;
ФосАгро;-15.44%;0.445;-2.29%;22;0;4.60%;;;;;;
Ростелеком;-21.57%;0.344;0.90%;29;0;-2.40%;;;;;;
Интер РАО;-6.02%;0.335;1.02%;2;0;1.10%;;;;;;
РуссНефть;-19.34%;0.333;0.00%;29;-1;-5.40%;;;;;;
Банк Санкт-Петербург;50.22%;0.28;-5.34%;3;1;1.50%;;;;;;
ЭсЭфАй;155.68%;0.263;10.69%;2;0;-19.10%;;;;;;
Совкомбанк;0.00%;0.243;6.88%;8;0;12.80%;;;;;;
Юнипро;-9.98%;0.23;0.00%;10;0;-0.10%;;;;;;
ЮГК;15.73%;0.227;0.00%;39;0;0.00%;;;;;;
Россети;-35.60%;0.22;0.00%;28;1;-0.80%;;;;;;
Сегежа;-65.92%;0.216;0.00%;3;-2;0.00%;;;;;;
Яковлев;-46.32%;0.196;0.00%;0;0;0.00%;;;;;;
Совкомфлот;-26.66%;0.176;9.70%;18;0;0.00%;;;;;;
ГТМ;0.00%;0.167;0.00%;1;0;0.00%;;;;;;
Евротранс;-58.37%;0.166;11.52%;2;0;0.00%;;;;;;
Астра;4.15%;0.162;1.42%;5;0;0.00%;;;;;;
МКБ;4.33%;0.144;0.00%;0;0;0.00%;;;;;;
Распадская;-36.58%;0.143;0.00%;2;0;15.80%;;;;;;
Башнефть;1.72%;0.132;-1.34%;13;0;-1.10%;;;;;;
ЛСР;17.79%;0.124;-0.70%;0;1;0.00%;;;;;;
ВУШ;-28.92%;0.101;-3.14%;1;1;0.00%;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
