Company;ChangeOrdinaryShare;TradeTurnover;ChangeDividendsPaid;News;CreditRating;ChangingNumberEmployees
T;-0.22;15.01;3.80;36.00;0;0.32
SBER;-0.11;12.53;-0.08;83.00;0;-0.07
Ëóêîéë;-0.02;4.95;-0.66;68.00;0;-0.01
GAZP;-0.26;4.87;0.00;123.00;0;0.01
YDEX;0.49;3.62;1.98;54.00;0;0.25
OZON;0.06;3.13;0.00;35.00;-1;0.10
PLZL;0.40;2.84;9.11;64.00;0;0.01
GMKN;-0.35;2.27;-5.34;33.00;0;-0.03
TATN;-0.09;2.07;4.50;59.00;0;-0.04
SMLT;-0.76;1.90;0.00;2.00;-1;0.47
MTLR;-0.69;1.86;0.00;3.00;0;-0.01
NVTK;-0.45;1.82;0.35;42.00;0;0.18
VKCO;-0.54;1.68;0.00;20.00;0;0.28
ROSN;-0.13;1.63;0.97;66.00;0;0.06
AFLT;0.45;1.61;0.00;37.00;1;-0.05
POSI;-0.01;1.49;-0.81;0.00;0;0.88
AFKS;-0.21;1.38;0.00;42.00;0;0.04
ÂÒÁ;-0.38;1.28;0.00;40.00;0;-0.06
MGHT;-0.28;1.04;12.28;27.00;-1;0.04
NLMK;-0.27;0.99;9.96;12.00;0;-0.01
HEAD;0.48;0.97;21.14;1.00;-1;0.00
CHMF;-0.10;0.93;19.45;31.00;0;0.00
ALRS;-0.25;0.85;2.11;26.00;0;-0.04
MTSS;-0.30;0.68;3.01;19.00;0;-0.03
MAGN;-0.34;0.63;10.50;7.00;0;0.25
SNGS;-0.01;0.60;17.74;39.00;0;0.00
SIBS;-0.34;0.57;-1.18;31.00;0;0.04
PIKK;-0.40;0.47;0.00;39.00;0;0.18
RUAL;-0.07;0.46;0.00;37.00;1;0.02
PHOR;-0.15;0.45;-2.29;22.00;0;0.05
RTKM;-0.22;0.34;0.90;29.00;0;-0.02
IRAO;-0.06;0.34;1.02;2.00;0;0.01
RNFT;-0.19;0.33;0.00;29.00;-1;-0.05
BSPB;0.50;0.28;-5.34;3.00;1;0.02
SFIN;1.56;0.26;10.69;2.00;0;-0.19
SVCB;0.00;0.24;6.88;8.00;0;0.13
UPRO;-0.10;0.23;0.00;10.00;0;0.00
UGLD;0.16;0.23;0.00;39.00;0;0.00
FEES;-0.36;0.22;0.00;28.00;1;-0.01
SGZH;-0.66;0.22;0.00;3.00;-2;0.00
IRKT;-0.46;0.20;0.00;0.00;0;0.00
FLOT;-0.27;0.18;9.70;18.00;0;0.00
GTRK;0.00;0.17;0.00;1.00;0;0.00
EUTR;-0.58;0.17;11.52;2.00;0;0.00
ASTR;0.04;0.16;1.42;5.00;0;0.00
CBOM;0.04;0.14;0.00;0.00;0;0.00
RASP;-0.37;0.14;0.00;2.00;0;0.16
BANE;0.02;0.13;-1.34;13.00;0;-0.01
LSRG;0.18;0.12;-0.70;0.00;1;0.00
WUSH;-0.29;0.10;-3.14;1.00;1;0.00
